epoch,loss,iou,dice,val_loss,val_iou,val_dice
0,1.242432454,0.000166822,0.004556888,1.215737358,5.74E-11,0.00364033
1,1.171431571,3.58E-10,0.004731817,1.163125752,5.60E-10,0.004054625
2,1.149291681,5.34E-10,0.004831989,1.145566052,8.17E-10,0.004087651
3,1.136658814,5.98E-10,0.004878068,1.134859681,5.96E-10,0.004037763
4,1.125086692,6.53E-10,0.004911958,1.2134485,9.70E-11,0.003606344
5,1.117502532,6.52E-10,0.004917475,1.115938228,8.56E-10,0.004112674
6,1.107506851,6.78E-10,0.00498339,1.107235855,8.56E-10,0.004167842
7,1.100162626,6.88E-10,0.00507402,1.104481833,8.28E-10,0.004317
8,1.093279906,6.83E-10,0.005129388,1.092228312,6.81E-10,0.004225216
9,1.086515897,6.91E-10,0.00521379,1.086055736,8.56E-10,0.004457105
10,1.080561635,6.95E-10,0.00532187,1.077341227,8.56E-10,0.004342284
11,1.075127404,6.99E-10,0.005443017,1.07287527,8.55E-10,0.004472313
11,1.070161815,7.01E-10,0.005515517,1.067963771,8.55E-10,0.004450659
12,1.06557964,7.02E-10,0.005601677,1.065473061,8.56E-10,0.004586559
13,1.061258021,7.01E-10,0.005813119,1.060124305,8.55E-10,0.004576191
14,1.057378456,7.01E-10,0.005900322,1.055149896,8.56E-10,0.00452977
14,1.053686847,0.001005972,0.006023326,1.050001028,8.56E-10,0.004233622
15,1.050025058,0.014488307,0.006521999,1.053330366,7.12E-10,0.005014346
16,1.046571256,0.025732463,0.006901276,1.049474823,5.56E-05,0.004936812
17,1.044508897,0.017194592,0.006530982,1.050448745,8.56E-10,0.005031623
18,1.042176078,0.000344198,0.005784519,1.046200448,8.56E-10,0.004990723
19,1.038948873,7.04E-10,0.006410552,1.042014773,8.56E-10,0.005089614
20,1.036362357,0.006398282,0.006666028,1.03488742,8.49E-10,0.004340128
21,1.034683391,7.05E-10,0.005922794,1.0323235,8.56E-10,0.00430046
22,1.031865717,0.005596057,0.006983485,1.029786532,7.86E-10,0.004528301
23,1.029325046,0.02390621,0.008054834,1.031138071,0.000633069,0.004954621
24,1.02724171,0.025129271,0.008328147,1.029652667,5.89E-10,0.005009804
25,1.025444705,0.02556573,0.008793484,1.02499596,4.77E-05,0.00467215
26,1.02312679,0.032102057,0.00954856,1.024096751,0.00111332,0.005213511
27,1.021200812,0.033471145,0.010308865,1.024013343,0.000668836,0.004918243
27,1.019443012,0.035951025,0.011012012,1.022118065,0.004763478,0.005125459
28,1.017377096,0.039544049,0.012020133,1.022308143,4.51E-10,0.004604927
29,1.01559655,0.039501718,0.012582998,1.017701188,7.78E-10,0.005044755
30,1.013872838,0.04295477,0.013250071,1.018030391,7.93E-10,0.004750765
31,1.012347705,0.042588745,0.013856729,1.017337768,0.000365252,0.005004713
32,1.009611678,0.050268636,0.015591935,1.015924266,0.000759178,0.004404458
33,1.007847938,0.048847435,0.016707873,1.013398328,6.38E-10,0.004526573
34,1.00559618,0.053672205,0.01793897,1.01356461,6.92E-10,0.004414598
35,1.004233359,0.052615881,0.018608466,1.014626698,0.001677116,0.004793849
36,1.002502864,0.055274008,0.019787876,1.012079314,7.38E-10,0.004693948
37,0.998988112,0.064446541,0.021977153,1.011254601,0.000490867,0.004320637
38,0.997287124,0.058839588,0.023310268,1.01275696,0.000914202,0.005625986
39,0.994594852,0.064007631,0.024286911,1.009124044,7.09E-10,0.003088836
40,0.991455199,0.068515981,0.02655101,1.010874907,0.00072372,0.004361175
41,0.988739757,0.071272876,0.027593905,1.010976724,4.73E-10,0.003318818
42,0.984686842,0.072647003,0.02923868,1.013199383,0.000513881,0.004872923
43,0.98247199,0.074526418,0.030116227,1.009524701,0.001052115,0.002655269
44,0.976978124,0.082096295,0.031971816,1.007229112,0.00142361,0.004191472
45,0.973781807,0.086425553,0.03292061,1.00798798,0.001893422,0.004600473
46,0.972990114,0.075443704,0.033981666,1.013782361,0.001318475,0.004659655
47,0.966865886,0.079320967,0.038040005,1.008760651,0.000862487,0.004336203
48,0.965427863,0.080760835,0.037041843,1.007663396,0.002574541,0.005131184
49,0.961461607,0.078445038,0.038450189,1.007319942,0.000385193,0.004756408
50,0.956198993,0.084980089,0.040824644,1.005953047,0.005048483,0.006586764
51,0.952952037,0.087162506,0.042444535,1.007234824,0.002123587,0.003727618
52,0.948705694,0.08558059,0.044130258,1.004073627,0.002083188,0.005667893
53,0.946553469,0.087201496,0.046063457,1.004824876,0.005146963,0.005306982
54,0.942015562,0.083461126,0.048059121,1.004937156,0.00179437,0.003898144
55,0.936585668,0.077998775,0.051772024,1.008151463,0.000677489,0.002855885
56,0.931486996,0.081519435,0.054931875,1.004466351,0.006108455,0.006577128
57,0.929919828,0.07326703,0.058297034,1.004020917,0.002500412,0.004454725
58,0.922700216,0.091183301,0.060125716,1.00131394,0.006374883,0.007168536
59,0.916769982,0.092764792,0.06201496,1.002396957,0.006174326,0.00740235
60,0.91456138,0.094686967,0.067246005,1.0017962,0.006336389,0.007224119
61,0.910916571,0.083101386,0.07459832,1.001995795,0.005515699,0.007871788
62,0.919375507,0.081196008,0.068661794,0.996253478,0.010937961,0.011752296
63,0.909447702,0.088804552,0.074650712,1.005480314,0.002482159,0.00456423
64,0.902324294,0.0964437,0.079266779,1.004333263,0.006462082,0.0079999
65,0.897417534,0.094240728,0.083376758,1.003105471,0.00348718,0.005621857
66,0.894923114,0.093871592,0.087533221,1.006257097,0.001049895,0.002658357
67,0.891924872,0.088949336,0.091845877,1.001757998,0.005813795,0.007432534
68,0.889539814,0.090488425,0.093342394,1.003949766,0.002650713,0.004623879
69,0.891632335,0.088343407,0.096218385,1.00400352,0.004395918,0.006042053
70,0.887016572,0.08860528,0.099850602,1.004044418,0.00411237,0.005420985
71,0.886715583,0.091643656,0.100722224,1.004893463,0.002892931,0.005301655
72,0.880868987,0.092128527,0.109106086,1.00235855,0.004742757,0.007307564
73,0.884056458,0.087572981,0.108858697,1.007288702,0.001700878,0.003201216
74,0.877611956,0.086856094,0.113011226,1.001931047,0.004432592,0.006877101
75,0.875854579,0.086917455,0.116850965,1.004750689,0.003150348,0.006136489
76,0.87282245,0.088246184,0.123455718,1.004442067,0.00285448,0.005497863
77,0.872177175,0.087906495,0.124503151,1.006754643,0.002232029,0.004677241
78,0.874205652,0.085268999,0.123772398,1.000040852,0.005937132,0.008985933
79,0.874475171,0.084752737,0.128841475,1.003453696,0.002661624,0.005310957
80,0.874786287,0.088241978,0.127172768,0.99994937,0.005336942,0.008874052
81,0.874992545,0.085310643,0.128896654,0.997891924,0.005824905,0.009091497
82,0.874891852,0.090805736,0.129360303,1.006297817,0.000906049,0.002169164
83,0.870973727,0.092399498,0.136848345,1.004121956,0.004537183,0.008239618
84,0.869183521,0.09130272,0.142307833,0.997447205,0.005737276,0.010260718
85,0.868381319,0.087943426,0.141612619,1.006477987,0.002687138,0.005165591
86,0.86782001,0.092512234,0.143893883,1.004945096,0.004566779,0.007645295
87,0.868747547,0.095495492,0.139992744,1.005393869,0.002487803,0.004676622
88,0.869712853,0.088194327,0.141680747,1.00639688,0.002357142,0.004666624
89,0.867643448,0.087245573,0.142093003,1.005073754,0.002970577,0.005688685
90,0.865778896,0.094821447,0.150913909,1.005831721,0.003049038,0.005652569
91,0.865394714,0.092784136,0.150014594,1.005806928,0.002963753,0.005536656
92,0.863692377,0.093500815,0.153803796,1.009772166,7.56E-10,0.000179892
93,0.868974404,0.088829438,0.148100004,1.006598534,0.002013592,0.004190281
94,0.868061477,0.090063088,0.149990171,1.007009255,0.003391994,0.006211608
95,0.863539886,0.095008372,0.15950495,1.004920933,0.003386509,0.006584835
96,0.864336624,0.095556364,0.16272974,1.003903782,0.004368759,0.0083538
97,0.861269438,0.096479036,0.160228387,1.002993301,0.005219885,0.009334086
98,0.860341194,0.08925768,0.157120869,1.007616546,0.002479414,0.005008709
99,0.860671525,0.094108844,0.159682825,1.005005419,0.003578513,0.007207934
100,0.867332011,0.090565301,0.157043353,1.007647645,0.001751685,0.00368539
101,0.861771042,0.092301188,0.160902098,1.004786774,0.002974679,0.005987955
102,0.860408799,0.087225097,0.155017331,1.003636167,0.004483701,0.008523711
103,0.862054696,0.093045054,0.160398975,1.00930736,0.001044193,0.002388935
104,0.858946743,0.09268754,0.162625372,1.007891687,0.00178088,0.003535101
105,0.861158893,0.093839024,0.162649751,1.006117159,0.002618805,0.005022685
106,0.859155364,0.092999821,0.162271783,1.006833857,0.002776672,0.005385128
107,0.860471347,0.096093587,0.164744601,1.005990626,0.003555874,0.007156842
108,0.85939391,0.095207447,0.168350175,1.007083152,0.003227433,0.006569779
109,0.856418775,0.095548036,0.168565691,1.006904664,0.00284772,0.005912316
110,0.858028417,0.093057776,0.164651394,1.006603671,0.003573044,0.006656858
111,0.856333539,0.093436663,0.167502493,1.008542888,0.002700746,0.005435888
112,0.854544676,0.101786341,0.17612192,1.005944046,0.00386762,0.007403248
112,0.855112552,0.1007817,0.177990615,1.007732364,0.002008458,0.004015413
113,0.85669525,0.094284683,0.169601679,1.006726909,0.003093789,0.006230902
114,0.853827309,0.099517744,0.175528571,1.007258322,0.002416807,0.005178372
115,0.852747521,0.095405603,0.172663629,1.008073282,0.002118714,0.004470828
116,0.854298634,0.096376011,0.174214512,1.005817623,0.003042072,0.006273092
117,0.85255285,0.099362351,0.177081659,1.008441735,0.001756386,0.003813598
118,0.852892384,0.098486481,0.176064357,1.006304439,0.003208083,0.006503296
119,0.854093688,0.096891706,0.17550002,1.006643842,0.003801464,0.007308451
120,0.854439989,0.097187137,0.176095843,1.006559876,0.002292482,0.00493017
121,0.854514243,0.092452455,0.168216601,1.008227229,0.001862983,0.004102045
122,0.855876729,0.094372007,0.171233207,1.007540796,0.001910949,0.003931406
123,0.856206509,0.095289166,0.172124282,1.001456233,0.006862717,0.012628834
124,0.853770867,0.09873589,0.177210808,1.007750029,0.001962633,0.004200446
125,0.853429209,0.096169365,0.174365088,1.00783163,0.00188779,0.003877972
126,0.852887612,0.096170877,0.174255282,1.008784037,0.002094228,0.004126366
127,0.851719018,0.099194329,0.178483829,1.008335791,0.002087811,0.0045335
128,0.853038,0.095062513,0.173397601,1.00798869,0.002772104,0.005964714
129,0.849696064,0.099183565,0.179291576,1.008054214,0.002209936,0.004799843
130,0.849342067,0.100017188,0.181072354,1.007227369,0.002549287,0.005421136
131,0.851556953,0.097098237,0.177318156,1.005899469,0.00253209,0.005407583
132,0.849794923,0.099794275,0.181017488,1.00856279,0.00205713,0.004302466
133,0.852837884,0.094667923,0.172993064,1.008174302,0.002482636,0.005191613
134,0.85273679,0.099630161,0.180560231,1.006068313,0.002957471,0.005551951
135,0.851430404,0.100068082,0.180978552,1.008571979,0.001347729,0.002800238
136,0.850351947,0.09947676,0.179759935,1.009127295,0.001506225,0.003335056
137,0.849919126,0.10436358,0.185845524,1.008207532,0.002014888,0.004300436
138,0.846974301,0.102471594,0.183919638,1.007477494,0.002631279,0.005088014
139,0.84748838,0.097448638,0.178472474,1.006243882,0.002597838,0.005598963
140,0.84815128,0.098647398,0.179661602,1.00818421,0.002223981,0.004807106
141,0.851445706,0.095902623,0.175131947,1.007874013,0.003163552,0.006146965
142,0.848842531,0.09739379,0.177377656,1.008311032,0.002248951,0.004653394
143,0.847732903,0.100136786,0.182415634,1.009603284,0.001923748,0.004120013
144,0.846935165,0.102542464,0.185196355,1.008001034,0.002474368,0.005210495
145,0.846909932,0.099842261,0.181746855,1.005737744,0.003935902,0.007562971
146,0.846731547,0.098894021,0.180121154,1.006985113,0.003035095,0.005799333
147,0.848143203,0.098705657,0.179089412,1.010863961,1.94E-05,8.74E-05
148,0.844973854,0.10008852,0.182831332,1.009410648,0.001743909,0.003737822
149,0.844319444,0.100609037,0.184109494,1.0078509,0.002471273,0.005221566
150,0.84400399,0.102024812,0.185480699,1.006373301,0.003900595,0.007948231
151,0.848039347,0.098705996,0.179121554,1.007610979,0.00261058,0.005238358
152,0.850655571,0.096042825,0.176052481,1.006992266,0.002278482,0.005058296
153,0.847145936,0.099524513,0.181398004,1.00707053,0.003009714,0.006279993
154,0.844940919,0.099398293,0.182005584,1.00787484,0.002289821,0.004799864
155,0.8422738,0.102894075,0.186863452,1.008464226,0.002447017,0.005129784
156,0.842259197,0.101327165,0.184441343,1.005394637,0.00404263,0.008031342
157,0.843107628,0.102257335,0.187067538,1.008862313,0.00225008,0.004860418
158,0.843247451,0.104734079,0.189072803,1.00966279,0.001948598,0.003995182
159,0.841664994,0.104496545,0.189326793,1.008272259,0.002401355,0.004838385
160,0.839477279,0.104606986,0.190180793,1.009162196,0.00170591,0.003831246
161,0.838111187,0.103889126,0.189459056,1.009623933,0.00114446,0.002608967
162,0.837307643,0.103804395,0.190226048,1.008250905,0.002470269,0.005205727
163,0.843333368,0.099572528,0.182973504,1.007183836,0.002680463,0.005759351
164,0.842947213,0.101111287,0.185668454,1.008266446,0.003074879,0.006255166
165,0.840066643,0.102947376,0.188670173,1.009216544,0.001793191,0.003810841
166,0.841335349,0.10306334,0.188877612,1.007429844,0.0024703,0.005006108
167,0.842300051,0.101337279,0.186030552,1.006280204,0.002960193,0.006377127
168,0.839674727,0.104139164,0.190787613,1.00673627,0.002925415,0.006248296
169,0.839361494,0.102046193,0.188303709,1.006846116,0.002086522,0.004535224
170,0.838127445,0.103972598,0.190229207,1.004422209,0.003580665,0.007489216
171,0.836635278,0.107269101,0.195266098,1.006465703,0.003097398,0.006490268
172,0.840277903,0.100902844,0.184980229,1.00580281,0.003856141,0.007958202
173,0.836707116,0.106148958,0.194317028,1.009084578,0.002361467,0.004944517
174,0.838355796,0.100259678,0.186751366,1.002349218,0.004785298,0.009981161
175,0.8428058,0.101571552,0.186420858,1.008181859,0.001214449,0.003311753
176,0.843397146,0.098216204,0.180132717,1.009925857,0.000592827,0.001365421
177,0.841289416,0.103506559,0.18863979,1.008546091,0.002299201,0.004868435
178,0.837732099,0.104874058,0.19326587,1.007740324,0.002285218,0.004950318
179,0.83656755,0.106521871,0.194621086,1.008316113,0.002114056,0.004712123
180,0.83612762,0.103211514,0.189526588,1.007233863,0.002972,0.006286979
181,0.835841344,0.105652926,0.193833411,1.007047449,0.002788701,0.006157923
182,0.838158698,0.102411569,0.18842034,1.0066499,0.002670148,0.005832372
183,0.835840482,0.105359521,0.192925423,1.008396495,0.002254512,0.004770068
184,0.83425612,0.10691814,0.194813952,1.008907874,0.001687359,0.003699215
185,0.836260435,0.102483822,0.189433083,1.007331646,0.002069322,0.004431352
186,0.840357385,0.100114868,0.183834001,1.008346504,0.00236761,0.005040303
187,0.842202525,0.100949544,0.185413241,1.004945175,0.004064698,0.008515026
188,0.838493303,0.104116376,0.189719245,1.007939523,0.002861664,0.005998074
189,0.83852868,0.10359404,0.189862221,1.007179656,0.003047035,0.006285922
190,0.835701228,0.104615952,0.191969752,1.008240644,0.003027568,0.006450281
191,0.833651727,0.10518497,0.193068027,1.006928243,0.002560487,0.005645448
192,0.834415493,0.106368899,0.195112556,1.006581006,0.003295344,0.006913345
193,0.837733557,0.103163204,0.189737856,1.006855802,0.003439311,0.007109094
194,0.835702881,0.104648668,0.190950364,1.008668515,0.002582803,0.005459539
195,0.835284805,0.105998252,0.194386199,1.007853516,0.002702842,0.005790965
196,0.835273755,0.103901276,0.190140024,1.008863049,0.002004026,0.004397916
197,0.835843979,0.107134608,0.19306244,1.007089411,0.00405994,0.008247795
198,0.834826157,0.105081631,0.192740858,1.005313562,0.003589451,0.007196035
199,0.836934966,0.105502011,0.192590475,1.008082321,0.002333025,0.004793769
200,0.834390469,0.107850218,0.197103649,1.009505284,0.001687033,0.003657476
200,0.834696751,0.106822068,0.193849772,1.005380213,0.0032778,0.006800937
201,0.834003859,0.105200594,0.193238467,1.006813325,0.003209629,0.006808231
202,0.833467217,0.106011197,0.193480834,1.00823089,0.002422548,0.005230254
203,0.832608903,0.105853349,0.192682937,1.008250624,0.002376103,0.005050716
204,0.83137852,0.107784531,0.197328717,1.009168359,0.001605772,0.003560722
205,0.831774776,0.10682806,0.195011988,1.007130005,0.003114047,0.006617116
206,0.832445399,0.108576759,0.198815063,1.007756928,0.002412706,0.005316506
207,0.833394384,0.107681755,0.196544752,1.00841749,0.002175239,0.004697526
208,0.83299849,0.106849333,0.194731236,1.008870566,0.002137524,0.004625612
209,0.833407563,0.105600038,0.193219021,1.003010887,0.005791113,0.010852204
210,0.837427616,0.104592365,0.19029741,1.004148994,0.004789429,0.009498337
210,0.840801936,0.101289764,0.185567752,1.007779516,0.003198741,0.006613959
211,0.839367805,0.105479114,0.192889065,1.005623303,0.004162907,0.008489469
212,0.835947868,0.105850798,0.194787517,1.007276255,0.003374382,0.007120018
213,0.834753568,0.105769766,0.194025442,1.008214141,0.00263573,0.00570226
214,0.840925981,0.102647463,0.189120948,1.006416292,0.003126688,0.006320884
215,0.838744905,0.102766251,0.189035773,1.008154719,0.00247167,0.005284573
216,0.840854007,0.102224097,0.186815158,1.008224709,0.002626632,0.005603861
217,0.837487723,0.104428456,0.191448167,1.006757823,0.003094786,0.006622133
218,0.836200498,0.101746473,0.188567221,1.009018529,0.001876775,0.00416135
219,0.83599085,0.104749329,0.192025632,1.007732129,0.002661299,0.00573299
220,0.836518227,0.103685385,0.190820187,1.006058484,0.003456371,0.007289232
221,0.83271402,0.106505314,0.194559664,1.006047368,0.003205574,0.006891756
